"user_id","Genre","is_teaching","is_preservice","is_formateur","is_directeur","is_inspecteur","is_other_role","is_researcher","teaching_level","trainer_support_level"
86,"F",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"","supérieur"
65,"F",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"","autre"
92,"F",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"","secondaire"
34,"M",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"secondaire","secondaire"
32,"M",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"","autre"
53,"A/B/NR",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"supérieur","supérieur"
64,"A/B/NR",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"secondaire",""
94,"M",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"secondaire",""
75,"A/B/NR",TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,"autre","autre"
15,"F",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,"","supérieur"
38,"M",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"secondaire",""
17,"M",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"secondaire",""
55,"M",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"secondaire","secondaire"
47,"F",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"secondaire",""
70,"M",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"secondaire","secondaire"
29,"F",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"secondaire",""
